DATE,Commulative cases and Deaths,,Commulative deaths
2020-01-30,1,,0
2020-01-31,5,,0
2020-02-01,5,,0
2020-02-02,2,,0
2020-02-03,3,,0
2020-02-04,7,,0
2020-02-05,7,,0
2020-02-06,7,,0
2020-02-07,7,,0
2020-02-08,7,,0
2020-02-09,7,,0
2020-02-10,7,,0
2020-02-11,7,,0
2020-02-12,7,,0
2020-02-13,7,,0
2020-02-14,7,,0
2020-02-15,7,,0
2020-02-16,7,,0
2020-02-17,7,,0
2020-02-18,7,,0
2020-02-19,7,,0
2020-02-20,7,,0
2020-02-21,7,,0
2020-02-22,7,,0
2020-02-23,7,,0
2020-02-24,7,,0
2020-02-25,7,,0
2020-02-26,7,,0
2020-02-27,7,,0
2020-02-28,7,,0
2020-02-29,7,,0
2020-03-01,7,,0
2020-03-02,5,,0
2020-03-03,9,,0
2020-03-04,28,,0
2020-03-05,29,,0
2020-03-06,31,,0
2020-03-07,34,,0
2020-03-08,39,,0
2020-03-09,44,,0
2020-03-10,50,,0
2020-03-11,60,,0
2020-03-12,73,,0
2020-03-13,81,,1
2020-03-14,84,,2
2020-03-15,107,,2
2020-03-16,114,,2
2020-03-17,137,,3
2020-03-18,151,,3
2020-03-19,173,,4
2020-03-20,223,,4
2020-03-21,283,,4
2020-03-22,360,,7
2020-03-23,434,,9
2020-03-24,519,,9
2020-03-25,606,,10
2020-03-26,649,,13
2020-03-27,724,,17
2020-03-28,909,,19
2020-03-29,979,,25
2020-03-30,1071,,29
2020-03-31,1251,,32
2020-04-01,1637,,38
2020-04-02,1965,,50
2020-04-03,2301,,56
2020-04-04,2902,,68
2020-04-05,3374,,77
2020-04-06,4067,,109
2020-04-07,4421,,114
2020-04-08,5274,,149
2020-04-09,5865,,169
2020-04-10,6412,,199
2020-04-11,7447,,239
2020-04-12,8356,,273
2020-04-13,9152,,308
2020-04-14,10363,,339
2020-04-15,11439,,377
2020-04-16,12380,,414
2020-04-17,13387,,437
2020-04-18,14378,,480
2020-04-19,15712,,507
2020-04-20,17265,,543
2020-04-21,18601,,590
2020-04-22,19984,,640
2020-04-23,21393,,681
2020-04-24,23077,,718
2020-04-25,24506,,775
2020-04-26,26496,,824
2020-04-27,27892,,872
2020-04-28,29435,,934
2020-04-29,31332,,1007
2020-04-30,33050,,1074
2020-05-01,35043,,1147
2020-05-02,37336,,1218
2020-05-03,39980,,1301
2020-05-04,42533,,1373
2020-05-05,46433,,1568
2020-05-06,49391,,1694
2020-05-07,52952,,1783
2020-05-08,56342,,1886
2020-05-09,59662,,1981
2020-05-10,62939,,2109
2020-05-11,67152,,2206
2020-05-12,70756,,2293
2020-05-13,74281,,2415
2020-05-14,78003,,2549
2020-05-15,81970,,2649
2020-05-16,85940,,2752
2020-05-17,90927,,2872
2020-05-18,96169,,3029
2020-05-19,101139,,3163
2020-05-20,106750,,3303
2020-05-21,112359,,3435
2020-05-22,118447,,3583
2020-05-23,125101,,3720
2020-05-24,131868,,3867
2020-05-25,138845,,4021
2020-05-26,145380,,4167
2020-05-27,151767,,4337
2020-05-28,158333,,4531
2020-05-29,165799,,4706
2020-05-30,173763,,4971
2020-05-31,182143,,5164
2020-06-01,190535,,5394
2020-06-02,198706,,5598
2020-06-03,207615,,5815
2020-06-04,216919,,6075
2020-06-05,226770,,6348
2020-06-06,236657,,6642
2020-06-07,246628,,6929
2020-06-08,256611,,7200
2020-06-09,266598,,7471
2020-06-10,276583,,7745
